module,name,constructor,dimention,description
,ATSC0m,"ATSC(0, 'm')",2D,centered moreau-broto autocorrelation of lag 0 weighted by mass
,ATSC1m,"ATSC(1, 'm')",2D,centered moreau-broto autocorrelation of lag 1 weighted by mass
,ATSC2m,"ATSC(2, 'm')",2D,centered moreau-broto autocorrelation of lag 2 weighted by mass
,ATSC3m,"ATSC(3, 'm')",2D,centered moreau-broto autocorrelation of lag 3 weighted by mass
,ATSC4m,"ATSC(4, 'm')",2D,centered moreau-broto autocorrelation of lag 4 weighted by mass
,ATSC5m,"ATSC(5, 'm')",2D,centered moreau-broto autocorrelation of lag 5 weighted by mass
,ATSC6m,"ATSC(6, 'm')",2D,centered moreau-broto autocorrelation of lag 6 weighted by mass
,ATSC7m,"ATSC(7, 'm')",2D,centered moreau-broto autocorrelation of lag 7 weighted by mass
,ATSC8m,"ATSC(8, 'm')",2D,centered moreau-broto autocorrelation of lag 8 weighted by mass
,ATSC0v,"ATSC(0, 'v')",2D,centered moreau-broto autocorrelation of lag 0 weighted by vdw volume
,ATSC1v,"ATSC(1, 'v')",2D,centered moreau-broto autocorrelation of lag 1 weighted by vdw volume
,ATSC2v,"ATSC(2, 'v')",2D,centered moreau-broto autocorrelation of lag 2 weighted by vdw volume
,ATSC3v,"ATSC(3, 'v')",2D,centered moreau-broto autocorrelation of lag 3 weighted by vdw volume
,ATSC4v,"ATSC(4, 'v')",2D,centered moreau-broto autocorrelation of lag 4 weighted by vdw volume
,ATSC5v,"ATSC(5, 'v')",2D,centered moreau-broto autocorrelation of lag 5 weighted by vdw volume
,ATSC6v,"ATSC(6, 'v')",2D,centered moreau-broto autocorrelation of lag 6 weighted by vdw volume
,ATSC7v,"ATSC(7, 'v')",2D,centered moreau-broto autocorrelation of lag 7 weighted by vdw volume
,ATSC8v,"ATSC(8, 'v')",2D,centered moreau-broto autocorrelation of lag 8 weighted by vdw volume
,ATSC0se,"ATSC(0, 'se')",2D,centered moreau-broto autocorrelation of lag 0 weighted by sanderson EN
,ATSC1se,"ATSC(1, 'se')",2D,centered moreau-broto autocorrelation of lag 1 weighted by sanderson EN
,ATSC2se,"ATSC(2, 'se')",2D,centered moreau-broto autocorrelation of lag 2 weighted by sanderson EN
,ATSC3se,"ATSC(3, 'se')",2D,centered moreau-broto autocorrelation of lag 3 weighted by sanderson EN
,ATSC4se,"ATSC(4, 'se')",2D,centered moreau-broto autocorrelation of lag 4 weighted by sanderson EN
,ATSC5se,"ATSC(5, 'se')",2D,centered moreau-broto autocorrelation of lag 5 weighted by sanderson EN
,ATSC6se,"ATSC(6, 'se')",2D,centered moreau-broto autocorrelation of lag 6 weighted by sanderson EN
,ATSC7se,"ATSC(7, 'se')",2D,centered moreau-broto autocorrelation of lag 7 weighted by sanderson EN
,ATSC8se,"ATSC(8, 'se')",2D,centered moreau-broto autocorrelation of lag 8 weighted by sanderson EN
,ATSC0pe,"ATSC(0, 'pe')",2D,centered moreau-broto autocorrelation of lag 0 weighted by pauling EN
,ATSC1pe,"ATSC(1, 'pe')",2D,centered moreau-broto autocorrelation of lag 1 weighted by pauling EN
,ATSC2pe,"ATSC(2, 'pe')",2D,centered moreau-broto autocorrelation of lag 2 weighted by pauling EN
,ATSC3pe,"ATSC(3, 'pe')",2D,centered moreau-broto autocorrelation of lag 3 weighted by pauling EN
,ATSC4pe,"ATSC(4, 'pe')",2D,centered moreau-broto autocorrelation of lag 4 weighted by pauling EN
,ATSC5pe,"ATSC(5, 'pe')",2D,centered moreau-broto autocorrelation of lag 5 weighted by pauling EN
,ATSC6pe,"ATSC(6, 'pe')",2D,centered moreau-broto autocorrelation of lag 6 weighted by pauling EN
,ATSC7pe,"ATSC(7, 'pe')",2D,centered moreau-broto autocorrelation of lag 7 weighted by pauling EN
,ATSC8pe,"ATSC(8, 'pe')",2D,centered moreau-broto autocorrelation of lag 8 weighted by pauling EN
,ATSC0are,"ATSC(0, 'are')",2D,centered moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
,ATSC1are,"ATSC(1, 'are')",2D,centered moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
,ATSC2are,"ATSC(2, 'are')",2D,centered moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
,ATSC3are,"ATSC(3, 'are')",2D,centered moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
,ATSC4are,"ATSC(4, 'are')",2D,centered moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
,ATSC5are,"ATSC(5, 'are')",2D,centered moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
,ATSC6are,"ATSC(6, 'are')",2D,centered moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
,ATSC7are,"ATSC(7, 'are')",2D,centered moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
,ATSC8are,"ATSC(8, 'are')",2D,centered moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
,ATSC0p,"ATSC(0, 'p')",2D,centered moreau-broto autocorrelation of lag 0 weighted by polarizability
,ATSC1p,"ATSC(1, 'p')",2D,centered moreau-broto autocorrelation of lag 1 weighted by polarizability
,ATSC2p,"ATSC(2, 'p')",2D,centered moreau-broto autocorrelation of lag 2 weighted by polarizability
,ATSC3p,"ATSC(3, 'p')",2D,centered moreau-broto autocorrelation of lag 3 weighted by polarizability
,ATSC4p,"ATSC(4, 'p')",2D,centered moreau-broto autocorrelation of lag 4 weighted by polarizability
,ATSC5p,"ATSC(5, 'p')",2D,centered moreau-broto autocorrelation of lag 5 weighted by polarizability
,ATSC6p,"ATSC(6, 'p')",2D,centered moreau-broto autocorrelation of lag 6 weighted by polarizability
,ATSC7p,"ATSC(7, 'p')",2D,centered moreau-broto autocorrelation of lag 7 weighted by polarizability
,ATSC8p,"ATSC(8, 'p')",2D,centered moreau-broto autocorrelation of lag 8 weighted by polarizability
,ATSC0i,"ATSC(0, 'i')",2D,centered moreau-broto autocorrelation of lag 0 weighted by ionization potential
,ATSC1i,"ATSC(1, 'i')",2D,centered moreau-broto autocorrelation of lag 1 weighted by ionization potential
,ATSC2i,"ATSC(2, 'i')",2D,centered moreau-broto autocorrelation of lag 2 weighted by ionization potential
,ATSC3i,"ATSC(3, 'i')",2D,centered moreau-broto autocorrelation of lag 3 weighted by ionization potential
,ATSC4i,"ATSC(4, 'i')",2D,centered moreau-broto autocorrelation of lag 4 weighted by ionization potential
,ATSC5i,"ATSC(5, 'i')",2D,centered moreau-broto autocorrelation of lag 5 weighted by ionization potential
,ATSC6i,"ATSC(6, 'i')",2D,centered moreau-broto autocorrelation of lag 6 weighted by ionization potential
,ATSC7i,"ATSC(7, 'i')",2D,centered moreau-broto autocorrelation of lag 7 weighted by ionization potential
,ATSC8i,"ATSC(8, 'i')",2D,centered moreau-broto autocorrelation of lag 8 weighted by ionization potential
,AATSC0c,"AATSC(0, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by gasteiger charge
,AATSC1c,"AATSC(1, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by gasteiger charge
,AATSC2c,"AATSC(2, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by gasteiger charge
,AATSC3c,"AATSC(3, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by gasteiger charge
,AATSC4c,"AATSC(4, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by gasteiger charge
,AATSC5c,"AATSC(5, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by gasteiger charge
,AATSC6c,"AATSC(6, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by gasteiger charge
,AATSC7c,"AATSC(7, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by gasteiger charge
,AATSC8c,"AATSC(8, 'c')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by gasteiger charge
,AATSC0dv,"AATSC(0, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by valence electrons
,AATSC1dv,"AATSC(1, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by valence electrons
,AATSC2dv,"AATSC(2, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by valence electrons
,AATSC3dv,"AATSC(3, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by valence electrons
,AATSC4dv,"AATSC(4, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by valence electrons
,AATSC5dv,"AATSC(5, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by valence electrons
,AATSC6dv,"AATSC(6, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by valence electrons
,AATSC7dv,"AATSC(7, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by valence electrons
,AATSC8dv,"AATSC(8, 'dv')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by valence electrons
,AATSC0d,"AATSC(0, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by sigma electrons
,AATSC1d,"AATSC(1, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by sigma electrons
,AATSC2d,"AATSC(2, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by sigma electrons
,AATSC3d,"AATSC(3, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by sigma electrons
,AATSC4d,"AATSC(4, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by sigma electrons
,AATSC5d,"AATSC(5, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by sigma electrons
,AATSC6d,"AATSC(6, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by sigma electrons
,AATSC7d,"AATSC(7, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by sigma electrons
,AATSC8d,"AATSC(8, 'd')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by sigma electrons
,AATSC0s,"AATSC(0, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by intrinsic state
,AATSC1s,"AATSC(1, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by intrinsic state
,AATSC2s,"AATSC(2, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by intrinsic state
,AATSC3s,"AATSC(3, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by intrinsic state
,AATSC4s,"AATSC(4, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by intrinsic state
,AATSC5s,"AATSC(5, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by intrinsic state
,AATSC6s,"AATSC(6, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by intrinsic state
,AATSC7s,"AATSC(7, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by intrinsic state
,AATSC8s,"AATSC(8, 's')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by intrinsic state
,AATSC0Z,"AATSC(0, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by atomic number
,AATSC1Z,"AATSC(1, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by atomic number
,AATSC2Z,"AATSC(2, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by atomic number
,AATSC3Z,"AATSC(3, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by atomic number
,AATSC4Z,"AATSC(4, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by atomic number
,AATSC5Z,"AATSC(5, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by atomic number
,AATSC6Z,"AATSC(6, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by atomic number
,AATSC7Z,"AATSC(7, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by atomic number
,AATSC8Z,"AATSC(8, 'Z')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by atomic number
,AATSC0m,"AATSC(0, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by mass
,AATSC1m,"AATSC(1, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by mass
,AATSC2m,"AATSC(2, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by mass
,AATSC3m,"AATSC(3, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by mass
,AATSC4m,"AATSC(4, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by mass
,AATSC5m,"AATSC(5, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by mass
,AATSC6m,"AATSC(6, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by mass
,AATSC7m,"AATSC(7, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by mass
,AATSC8m,"AATSC(8, 'm')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by mass
,AATSC0v,"AATSC(0, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by vdw volume
,AATSC1v,"AATSC(1, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by vdw volume
,AATSC2v,"AATSC(2, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by vdw volume
,AATSC3v,"AATSC(3, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by vdw volume
,AATSC4v,"AATSC(4, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by vdw volume
,AATSC5v,"AATSC(5, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by vdw volume
,AATSC6v,"AATSC(6, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by vdw volume
,AATSC7v,"AATSC(7, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by vdw volume
,AATSC8v,"AATSC(8, 'v')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by vdw volume
,AATSC0se,"AATSC(0, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by sanderson EN
,AATSC1se,"AATSC(1, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by sanderson EN
,AATSC2se,"AATSC(2, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by sanderson EN
,AATSC3se,"AATSC(3, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by sanderson EN
,AATSC4se,"AATSC(4, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by sanderson EN
,AATSC5se,"AATSC(5, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by sanderson EN
,AATSC6se,"AATSC(6, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by sanderson EN
,AATSC7se,"AATSC(7, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by sanderson EN
,AATSC8se,"AATSC(8, 'se')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by sanderson EN
,AATSC0pe,"AATSC(0, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by pauling EN
,AATSC1pe,"AATSC(1, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by pauling EN
,AATSC2pe,"AATSC(2, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by pauling EN
,AATSC3pe,"AATSC(3, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by pauling EN
,AATSC4pe,"AATSC(4, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by pauling EN
,AATSC5pe,"AATSC(5, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by pauling EN
,AATSC6pe,"AATSC(6, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by pauling EN
,AATSC7pe,"AATSC(7, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by pauling EN
,AATSC8pe,"AATSC(8, 'pe')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by pauling EN
,AATSC0are,"AATSC(0, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
,AATSC1are,"AATSC(1, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
,AATSC2are,"AATSC(2, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
,AATSC3are,"AATSC(3, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
,AATSC4are,"AATSC(4, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
,AATSC5are,"AATSC(5, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
,AATSC6are,"AATSC(6, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
,AATSC7are,"AATSC(7, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
,AATSC8are,"AATSC(8, 'are')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
,AATSC0p,"AATSC(0, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by polarizability
,AATSC1p,"AATSC(1, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by polarizability
,AATSC2p,"AATSC(2, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by polarizability
,AATSC3p,"AATSC(3, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by polarizability
,AATSC4p,"AATSC(4, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by polarizability
,AATSC5p,"AATSC(5, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by polarizability
,AATSC6p,"AATSC(6, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by polarizability
,AATSC7p,"AATSC(7, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by polarizability
,AATSC8p,"AATSC(8, 'p')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by polarizability
,AATSC0i,"AATSC(0, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 0 weighted by ionization potential
,AATSC1i,"AATSC(1, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 1 weighted by ionization potential
,AATSC2i,"AATSC(2, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 2 weighted by ionization potential
,AATSC3i,"AATSC(3, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 3 weighted by ionization potential
,AATSC4i,"AATSC(4, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 4 weighted by ionization potential
,AATSC5i,"AATSC(5, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 5 weighted by ionization potential
,AATSC6i,"AATSC(6, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 6 weighted by ionization potential
,AATSC7i,"AATSC(7, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 7 weighted by ionization potential
,AATSC8i,"AATSC(8, 'i')",2D,averaged and centered moreau-broto autocorrelation of lag 8 weighted by ionization potential
,MATS1c,"MATS(1, 'c')",2D,moran coefficient of lag 1 weighted by gasteiger charge
,MATS2c,"MATS(2, 'c')",2D,moran coefficient of lag 2 weighted by gasteiger charge
,MATS3c,"MATS(3, 'c')",2D,moran coefficient of lag 3 weighted by gasteiger charge
,MATS4c,"MATS(4, 'c')",2D,moran coefficient of lag 4 weighted by gasteiger charge
,MATS5c,"MATS(5, 'c')",2D,moran coefficient of lag 5 weighted by gasteiger charge
,MATS6c,"MATS(6, 'c')",2D,moran coefficient of lag 6 weighted by gasteiger charge
,MATS7c,"MATS(7, 'c')",2D,moran coefficient of lag 7 weighted by gasteiger charge
,MATS8c,"MATS(8, 'c')",2D,moran coefficient of lag 8 weighted by gasteiger charge
,MATS1dv,"MATS(1, 'dv')",2D,moran coefficient of lag 1 weighted by valence electrons
,MATS2dv,"MATS(2, 'dv')",2D,moran coefficient of lag 2 weighted by valence electrons
,MATS3dv,"MATS(3, 'dv')",2D,moran coefficient of lag 3 weighted by valence electrons
,MATS4dv,"MATS(4, 'dv')",2D,moran coefficient of lag 4 weighted by valence electrons
,MATS5dv,"MATS(5, 'dv')",2D,moran coefficient of lag 5 weighted by valence electrons
,MATS6dv,"MATS(6, 'dv')",2D,moran coefficient of lag 6 weighted by valence electrons
,MATS7dv,"MATS(7, 'dv')",2D,moran coefficient of lag 7 weighted by valence electrons
,MATS8dv,"MATS(8, 'dv')",2D,moran coefficient of lag 8 weighted by valence electrons
,MATS1d,"MATS(1, 'd')",2D,moran coefficient of lag 1 weighted by sigma electrons
,MATS2d,"MATS(2, 'd')",2D,moran coefficient of lag 2 weighted by sigma electrons
,MATS3d,"MATS(3, 'd')",2D,moran coefficient of lag 3 weighted by sigma electrons
,MATS4d,"MATS(4, 'd')",2D,moran coefficient of lag 4 weighted by sigma electrons
,MATS5d,"MATS(5, 'd')",2D,moran coefficient of lag 5 weighted by sigma electrons
,MATS6d,"MATS(6, 'd')",2D,moran coefficient of lag 6 weighted by sigma electrons
,MATS7d,"MATS(7, 'd')",2D,moran coefficient of lag 7 weighted by sigma electrons
,MATS8d,"MATS(8, 'd')",2D,moran coefficient of lag 8 weighted by sigma electrons
,MATS1s,"MATS(1, 's')",2D,moran coefficient of lag 1 weighted by intrinsic state
,MATS2s,"MATS(2, 's')",2D,moran coefficient of lag 2 weighted by intrinsic state
,MATS3s,"MATS(3, 's')",2D,moran coefficient of lag 3 weighted by intrinsic state
,MATS4s,"MATS(4, 's')",2D,moran coefficient of lag 4 weighted by intrinsic state
,MATS5s,"MATS(5, 's')",2D,moran coefficient of lag 5 weighted by intrinsic state
,MATS6s,"MATS(6, 's')",2D,moran coefficient of lag 6 weighted by intrinsic state
,MATS7s,"MATS(7, 's')",2D,moran coefficient of lag 7 weighted by intrinsic state
,MATS8s,"MATS(8, 's')",2D,moran coefficient of lag 8 weighted by intrinsic state
,MATS1Z,"MATS(1, 'Z')",2D,moran coefficient of lag 1 weighted by atomic number
,MATS2Z,"MATS(2, 'Z')",2D,moran coefficient of lag 2 weighted by atomic number
,MATS3Z,"MATS(3, 'Z')",2D,moran coefficient of lag 3 weighted by atomic number
,MATS4Z,"MATS(4, 'Z')",2D,moran coefficient of lag 4 weighted by atomic number
,MATS5Z,"MATS(5, 'Z')",2D,moran coefficient of lag 5 weighted by atomic number
,MATS6Z,"MATS(6, 'Z')",2D,moran coefficient of lag 6 weighted by atomic number
,MATS7Z,"MATS(7, 'Z')",2D,moran coefficient of lag 7 weighted by atomic number
,MATS8Z,"MATS(8, 'Z')",2D,moran coefficient of lag 8 weighted by atomic number
,MATS1m,"MATS(1, 'm')",2D,moran coefficient of lag 1 weighted by mass
,MATS2m,"MATS(2, 'm')",2D,moran coefficient of lag 2 weighted by mass
,MATS3m,"MATS(3, 'm')",2D,moran coefficient of lag 3 weighted by mass
,MATS4m,"MATS(4, 'm')",2D,moran coefficient of lag 4 weighted by mass
,MATS5m,"MATS(5, 'm')",2D,moran coefficient of lag 5 weighted by mass
,MATS6m,"MATS(6, 'm')",2D,moran coefficient of lag 6 weighted by mass
,MATS7m,"MATS(7, 'm')",2D,moran coefficient of lag 7 weighted by mass
,MATS8m,"MATS(8, 'm')",2D,moran coefficient of lag 8 weighted by mass
,MATS1v,"MATS(1, 'v')",2D,moran coefficient of lag 1 weighted by vdw volume
,MATS2v,"MATS(2, 'v')",2D,moran coefficient of lag 2 weighted by vdw volume
,MATS3v,"MATS(3, 'v')",2D,moran coefficient of lag 3 weighted by vdw volume
,MATS4v,"MATS(4, 'v')",2D,moran coefficient of lag 4 weighted by vdw volume
,MATS5v,"MATS(5, 'v')",2D,moran coefficient of lag 5 weighted by vdw volume
,MATS6v,"MATS(6, 'v')",2D,moran coefficient of lag 6 weighted by vdw volume
,MATS7v,"MATS(7, 'v')",2D,moran coefficient of lag 7 weighted by vdw volume
,MATS8v,"MATS(8, 'v')",2D,moran coefficient of lag 8 weighted by vdw volume
,MATS1se,"MATS(1, 'se')",2D,moran coefficient of lag 1 weighted by sanderson EN
,MATS2se,"MATS(2, 'se')",2D,moran coefficient of lag 2 weighted by sanderson EN
,MATS3se,"MATS(3, 'se')",2D,moran coefficient of lag 3 weighted by sanderson EN
,MATS4se,"MATS(4, 'se')",2D,moran coefficient of lag 4 weighted by sanderson EN
,MATS5se,"MATS(5, 'se')",2D,moran coefficient of lag 5 weighted by sanderson EN
,MATS6se,"MATS(6, 'se')",2D,moran coefficient of lag 6 weighted by sanderson EN
,MATS7se,"MATS(7, 'se')",2D,moran coefficient of lag 7 weighted by sanderson EN
,MATS8se,"MATS(8, 'se')",2D,moran coefficient of lag 8 weighted by sanderson EN
,MATS1pe,"MATS(1, 'pe')",2D,moran coefficient of lag 1 weighted by pauling EN
,MATS2pe,"MATS(2, 'pe')",2D,moran coefficient of lag 2 weighted by pauling EN
,MATS3pe,"MATS(3, 'pe')",2D,moran coefficient of lag 3 weighted by pauling EN
,MATS4pe,"MATS(4, 'pe')",2D,moran coefficient of lag 4 weighted by pauling EN
,MATS5pe,"MATS(5, 'pe')",2D,moran coefficient of lag 5 weighted by pauling EN
,MATS6pe,"MATS(6, 'pe')",2D,moran coefficient of lag 6 weighted by pauling EN
,MATS7pe,"MATS(7, 'pe')",2D,moran coefficient of lag 7 weighted by pauling EN
,MATS8pe,"MATS(8, 'pe')",2D,moran coefficient of lag 8 weighted by pauling EN
,MATS1are,"MATS(1, 'are')",2D,moran coefficient of lag 1 weighted by allred-rocow EN
,MATS2are,"MATS(2, 'are')",2D,moran coefficient of lag 2 weighted by allred-rocow EN
,MATS3are,"MATS(3, 'are')",2D,moran coefficient of lag 3 weighted by allred-rocow EN
,MATS4are,"MATS(4, 'are')",2D,moran coefficient of lag 4 weighted by allred-rocow EN
,MATS5are,"MATS(5, 'are')",2D,moran coefficient of lag 5 weighted by allred-rocow EN
,MATS6are,"MATS(6, 'are')",2D,moran coefficient of lag 6 weighted by allred-rocow EN
,MATS7are,"MATS(7, 'are')",2D,moran coefficient of lag 7 weighted by allred-rocow EN
,MATS8are,"MATS(8, 'are')",2D,moran coefficient of lag 8 weighted by allred-rocow EN
,MATS1p,"MATS(1, 'p')",2D,moran coefficient of lag 1 weighted by polarizability
,MATS2p,"MATS(2, 'p')",2D,moran coefficient of lag 2 weighted by polarizability
,MATS3p,"MATS(3, 'p')",2D,moran coefficient of lag 3 weighted by polarizability
,MATS4p,"MATS(4, 'p')",2D,moran coefficient of lag 4 weighted by polarizability
,MATS5p,"MATS(5, 'p')",2D,moran coefficient of lag 5 weighted by polarizability
,MATS6p,"MATS(6, 'p')",2D,moran coefficient of lag 6 weighted by polarizability
,MATS7p,"MATS(7, 'p')",2D,moran coefficient of lag 7 weighted by polarizability
,MATS8p,"MATS(8, 'p')",2D,moran coefficient of lag 8 weighted by polarizability
,MATS1i,"MATS(1, 'i')",2D,moran coefficient of lag 1 weighted by ionization potential
,MATS2i,"MATS(2, 'i')",2D,moran coefficient of lag 2 weighted by ionization potential
,MATS3i,"MATS(3, 'i')",2D,moran coefficient of lag 3 weighted by ionization potential
,MATS4i,"MATS(4, 'i')",2D,moran coefficient of lag 4 weighted by ionization potential
,MATS5i,"MATS(5, 'i')",2D,moran coefficient of lag 5 weighted by ionization potential
,MATS6i,"MATS(6, 'i')",2D,moran coefficient of lag 6 weighted by ionization potential
